맵에 사용된 단어 목록 (단어별 사용 맵)
==========================================

총 사용 단어: 1131개

aaron | 아론 | 난이도 2 | crosswordMap18 (1회)
hachilah | 하길라 | 난이도 3 | crosswordMap49 (1회)
hadadezer | 하닷에셀 | 난이도 3 | crosswordMap73 (1회)
hades | 하데스 | 난이도 2 | crosswordMap6 (1회)
hadrach | 하드락 | 난이도 3 | crosswordMap65 (1회)
hagar | 하갈 | 난이도 2 | crosswordMap16 (1회)
hagri | 하그리 | 난이도 3 | crosswordMap80 (1회)
hair | 머리털 | 난이도 1 | crosswordMap72 (1회)
hakkatan | 학가단 | 난이도 3 | crosswordMap26 (1회)
hakkoz | 학고스 | 난이도 3 | crosswordMap78 (1회)
halah | 할라 | 난이도 3 | crosswordMap30 (1회)
hallel | 할렐 | 난이도 1 | crosswordMap70 (1회)
hamath | 하맛 | 난이도 2 | crosswordMap76 (1회)
hammath | 함맛 | 난이도 3 | crosswordMap78 (1회)
hammolecheth | 함몰레겟 | 난이도 3 | crosswordMap30 (1회)
hammuel | 함무엘 | 난이도 3 | crosswordMap73 (1회)
hananiah | 하나냐 | 난이도 3 | crosswordMap22 (1회)
handbreadth | 손너비 | 난이도 2 | crosswordMap75 (1회)
hannah | 한나 | 난이도 2 | crosswordMap41 (1회)
hannathon | 한나돈 | 난이도 3 | crosswordMap10 (1회)
hanniel | 한니엘 | 난이도 3 | crosswordMap10 (1회)
hanun | 하눈 | 난이도 3 | crosswordMap23 (1회)
hapharaim | 하바라임 | 난이도 3 | crosswordMap72 (1회)
haran | 하란 | 난이도 2 | crosswordMap22 (1회)
harlot | 창녀 | 난이도 2 | crosswordMap79 (1회)
harnepher | 하르네벨 | 난이도 3 | crosswordMap64 (1회)
harod | 하롯 | 난이도 3 | crosswordMap77 (1회)
harp | 수금 | 난이도 2 | crosswordMap17 (1회)
harsha | 하르사 | 난이도 3 | crosswordMap28 (1회)
harum | 하룸 | 난이도 3 | crosswordMap77 (1회)
haruz | 하루스 | 난이도 3 | crosswordMap28 (1회)
harvest | 수확 | 난이도 2 | crosswordMap74 (1회)
hasadiah | 하사댜 | 난이도 3 | crosswordMap30 (1회)
hashabiah | 하사뱌 | 난이도 3 | crosswordMap72 (1회)
hashabnah | 하삽나 | 난이도 3 | crosswordMap49 (1회)
hasshub | 핫숩 | 난이도 3 | crosswordMap48 (1회)
hasupha | 하수파 | 난이도 3 | crosswordMap28 (1회)
hate | 미움 | 난이도 1 | crosswordMap31 (1회)
havilah | 하윌라 | 난이도 2 | crosswordMap70 (1회)
hazael | 하사엘 | 난이도 2 | crosswordMap67 (1회)
hazaiah | 하사야 | 난이도 3 | crosswordMap73 (1회)
hazor | 하솔 | 난이도 2 | crosswordMap42 (1회)
head | 머리 | 난이도 1 | crosswordMap40 (1회)
hebron | 헤브론 | 난이도 2 | crosswordMap12 (1회)
heel | 발꿈치 | 난이도 1 | crosswordMap53 (1회)
helah | 헬라 | 난이도 3 | crosswordMap79 (1회)
heldai | 헬대 | 난이도 3 | crosswordMap79 (1회)
hena | 헤나 | 난이도 3 | crosswordMap10 (1회)
hephzibah | 헵시바 | 난이도 3 | crosswordMap30 (1회)
hermas | 헤르마 | 난이도 3 | crosswordMap65 (1회)
hermes | 헤르메스 | 난이도 3 | crosswordMap27 (1회)
herod | 헤롯 | 난이도 2 | crosswordMap14 (1회)
herodias | 헤로디아 | 난이도 2 | crosswordMap14 (1회)
heshbon | 헤스본 | 난이도 2 | crosswordMap43 (1회)
heshmon | 헤스몬 | 난이도 3 | crosswordMap48 (1회)
hezekiah | 히스기야 | 난이도 2 | crosswordMap22 (1회)
hezion | 헤시온 | 난이도 3 | crosswordMap48 (1회)
hiddekel | 힛데겔 | 난이도 2 | crosswordMap65 (1회)
higgaion | 힉가욘 | 난이도 2 | crosswordMap71 (1회)
highpriest | 대제사장 | 난이도 1 | crosswordMap51 (1회)
hirah | 히라 | 난이도 3 | crosswordMap77 (1회)
hobab | 호밥 | 난이도 3 | crosswordMap26 (1회)
hodesh | 호데스 | 난이도 3 | crosswordMap24 (1회)
hodiah | 호디야 | 난이도 3 | crosswordMap80 (1회)
hoglah | 호글라 | 난이도 3 | crosswordMap24 (1회)
hoham | 호함 | 난이도 3 | crosswordMap72 (1회)
holiness | 거룩함 | 난이도 1 | crosswordMap13 (1회)
homer | 호멜 | 난이도 2 | crosswordMap62 (1회)
hope | 희망 | 난이도 1 | crosswordMap47 (1회)
hophra | 호브라 | 난이도 3 | crosswordMap77 (1회)
hor | 호르 | 난이도 3 | crosswordMap28 (1회)
horesh | 호레스 | 난이도 3 | crosswordMap26 (1회)
horonaim | 호로나임 | 난이도 3 | crosswordMap9 (1회)
hosea | 호세아 | 난이도 2 | crosswordMap7 (1회)
hoshaiah | 호사야 | 난이도 3 | crosswordMap75 (1회)
hour | 시간시 | 난이도 2 | crosswordMap48 (1회)
huldah | 훌다 | 난이도 2 | crosswordMap7 (1회)
hurai | 후래 | 난이도 3 | crosswordMap77 (1회)
huri | 후리 | 난이도 3 | crosswordMap77 (1회)
hushah | 후사 | 난이도 3 | crosswordMap26 (1회)
hymenaeus | 후메내오 | 난이도 3 | crosswordMap79 (1회)
iconium | 이고니온 | 난이도 2 | crosswordMap6 (1회)
idolatry | 우상숭배 | 난이도 2 | crosswordMap24 (1회)
illegitimate-2 | 사생사생자 | 난이도 2 | crosswordMap51 (1회)
inheritance | 상속재산 | 난이도 2 | crosswordMap61 (1회)
instruction | 교훈 | 난이도 1 | crosswordMap63 (1회)
intestines | 창자 | 난이도 2 | crosswordMap16 (1회)
isaac | 이삭 | 난이도 1 | crosswordMap6 (1회)
isaiah | 이사야 | 난이도 1 | crosswordMap3 (1회)
ishbosheth | 이스보셋 | 난이도 2 | crosswordMap7 (1회)
israel | 이스라엘 | 난이도 1 | crosswordMap60 (1회)
ithamar | 이다말 | 난이도 3 | crosswordMap7 (1회)
ivory | 상아 | 난이도 2 | crosswordMap61 (1회)
jacob | 야곱 | 난이도 1 | crosswordMap4 (1회)
jairus | 야이로 | 난이도 3 | crosswordMap44 (1회)
james | 야고보 | 난이도 1 | crosswordMap41 (1회)
jamesletter | 야고보서 | 난이도 2 | crosswordMap11 (1회)
japheth | 야벳 | 난이도 2 | crosswordMap72 (1회)
jehoahaz | 여호아하스 | 난이도 2 | crosswordMap70 (1회)
jehoash | 여호아스 | 난이도 2 | crosswordMap11 (1회)
jehoiada | 여호야다 | 난이도 2 | crosswordMap72 (1회)
jehoiakim | 여호야김 | 난이도 2 | crosswordMap75 (1회)
jehoram | 여호람 | 난이도 2 | crosswordMap62 (1회)
jehu | 예후 | 난이도 2 | crosswordMap19 (1회)
jeremiah | 예레미야 | 난이도 1 | crosswordMap3, crosswordMap59 (2회)
jericho | 여리고 | 난이도 1 | crosswordMap12 (1회)
jeroboam | 여로보암 | 난이도 2 | crosswordMap19 (1회)
jerusalem | 예루살렘 | 난이도 1 | crosswordMap54 (1회)
jesse | 이새 | 난이도 2 | crosswordMap45 (1회)
jesus | 예수 | 난이도 1 | crosswordMap54 (1회)
jews | 유대인 | 난이도 1 | crosswordMap1 (1회)
jezebel | 이세벨 | 난이도 2 | crosswordMap72 (1회)
joanna | 요안나 | 난이도 2 | crosswordMap20 (1회)
joel | 요엘 | 난이도 2 | crosswordMap58 (1회)
johnsgospel | 요한복음 | 난이도 2 | crosswordMap20 (1회)
jonadab | 요나답 | 난이도 3 | crosswordMap21 (1회)
jonah | 요나 | 난이도 1 | crosswordMap14 (1회)
jonathan | 요나단 | 난이도 2 | crosswordMap56 (1회)
jordan | 요단강 | 난이도 1 | crosswordMap56 (1회)
joseph | 요셉 | 난이도 1 | crosswordMap55 (1회)
joshua | 여호수아 | 난이도 1 | crosswordMap35 (1회)
josiah | 요시야 | 난이도 2 | crosswordMap56 (1회)
jubilee | 희년 | 난이도 2 | crosswordMap47 (1회)
judah | 유다 | 난이도 1 | crosswordMap1 (1회)
judasiscariot | 가룟유다 | 난이도 2 | crosswordMap7 (1회)
judesletter | 유다서 | 난이도 2 | crosswordMap61 (1회)
judgesbook | 사사기 | 난이도 1 | crosswordMap52 (1회)
justus | 유스도 | 난이도 3 | crosswordMap7 (1회)
kadesh | 가데스 | 난이도 1 | crosswordMap24 (1회)
kareah | 가레아 | 난이도 3 | crosswordMap27 (1회)
kedar | 게달 | 난이도 3 | crosswordMap69 (1회)
kehelathah | 그헬라다 | 난이도 3 | crosswordMap25 (1회)
keilah | 그일라 | 난이도 2 | crosswordMap29 (1회)
kelita | 글리다 | 난이도 3 | crosswordMap25 (1회)
keturah | 그두라 | 난이도 3 | crosswordMap62 (1회)
kibzaim | 깁사임 | 난이도 3 | crosswordMap23 (1회)
kidnapping | 납치 | 난이도 1 | crosswordMap53 (1회)
kinah | 기나 | 난이도 3 | crosswordMap71 (1회)
kindness | 친절 | 난이도 2 | crosswordMap39 (1회)
kishi | 기시 | 난이도 3 | crosswordMap80 (1회)
knowledge | 지식 | 난이도 2 | crosswordMap47 (1회)
kohath | 고핫 | 난이도 1 | crosswordMap48 (1회)
korah | 고라 | 난이도 2 | crosswordMap7 (1회)
kore | 고레 | 난이도 3 | crosswordMap70 (1회)
kushaiah | 구사야 | 난이도 3 | crosswordMap73 (1회)
laadah | 라아다 | 난이도 3 | crosswordMap9 (1회)
laban | 라반 | 난이도 1 | crosswordMap31 (1회)
labdanum | 라브다넘 | 난이도 3 | crosswordMap25 (1회)
lachish | 라기스 | 난이도 2 | crosswordMap4 (1회)
ladan | 라단 | 난이도 3 | crosswordMap26 (1회)
ladder | 사다리 | 난이도 1 | crosswordMap49 (1회)
lael | 라엘 | 난이도 2 | crosswordMap67 (1회)
lahad | 라핫 | 난이도 2 | crosswordMap66 (1회)
laishah | 라이사 | 난이도 3 | crosswordMap77 (1회)
lamech | 라멕 | 난이도 3 | crosswordMap24 (1회)
lamentations | 예레미야애가 | 난이도 2 | crosswordMap4 (1회)
lamp | 등불 | 난이도 1 | crosswordMap60 (1회)
lampstand | 등잔대 | 난이도 1 | crosswordMap60 (1회)
laodicea | 라오디게아 | 난이도 2 | crosswordMap33 (1회)
lappidoth | 랍비돗 | 난이도 3 | crosswordMap74 (1회)
lasea | 라새아 | 난이도 3 | crosswordMap27 (1회)
layingonofhands | 안수 | 난이도 2 | crosswordMap8 (1회)
lazarus | 나사로 | 난이도 1 | crosswordMap14 (1회)
laziness | 게으름 | 난이도 1 | crosswordMap56 (1회)
leah | 레아 | 난이도 2 | crosswordMap21 (1회)
lebanon | 레바논 | 난이도 1 | crosswordMap30 (1회)
leech | 거머리 | 난이도 1 | crosswordMap36 (1회)
leek | 리크 | 난이도 3 | crosswordMap24 (1회)
leg | 다리 | 난이도 2 | crosswordMap64 (1회)
leviathan | 리워야단 | 난이도 3 | crosswordMap44 (1회)
levite | 레위인 | 난이도 2 | crosswordMap21 (1회)
leviticus | 레위기 | 난이도 2 | crosswordMap3 (1회)
libya | 리비아 | 난이도 3 | crosswordMap43 (1회)
lie | 거짓말 | 난이도 1 | crosswordMap31, crosswordMap51 (2회)
life | 생명 | 난이도 1 | crosswordMap53 (1회)
likhi | 릭히 | 난이도 3 | crosswordMap42 (1회)
lily | 백합 | 난이도 1 | crosswordMap33 (1회)
linus | 리노 | 난이도 3 | crosswordMap50 (1회)
locust | 메뚜기 | 난이도 1 | crosswordMap31 (1회)
lod | 로드 | 난이도 3 | crosswordMap63 (1회)
lois | 로이스 | 난이도 3 | crosswordMap22 (1회)
love | 사랑 | 난이도 1 | crosswordMap16 (1회)
luke | 누가 | 난이도 2 | crosswordMap20 (1회)
lukesgospel | 누가복음 | 난이도 2 | crosswordMap20 (1회)
luminary | 광명체 | 난이도 1 | crosswordMap59 (1회)
lycia | 리키아 | 난이도 3 | crosswordMap67 (1회)
lydia | 루디아 | 난이도 2 | crosswordMap17 (1회)
lyre | 비파 | 난이도 2 | crosswordMap49 (1회)
lystra | 리스트라 | 난이도 2 | crosswordMap64 (1회)
maaseiah | 마아세야 | 난이도 3 | crosswordMap71 (1회)
maath | 마앗 | 난이도 3 | crosswordMap63 (1회)
macedonia | 마게도냐 | 난이도 2 | crosswordMap17 (1회)
machbenah | 막베나 | 난이도 3 | crosswordMap62 (1회)
machnadebai | 막나드배 | 난이도 3 | crosswordMap63 (1회)
machpelah | 막벨라 | 난이도 1 | crosswordMap35, crosswordMap36 (2회)
madon | 마돈 | 난이도 3 | crosswordMap78 (1회)
magadan | 마가단 | 난이도 2 | crosswordMap27 (1회)
magbish | 막비스 | 난이도 3 | crosswordMap9 (1회)
maggot | 구더기 | 난이도 2 | crosswordMap39 (1회)
mahanaim | 마하나임 | 난이도 1 | crosswordMap65 (1회)
mahath | 마핫 | 난이도 3 | crosswordMap65 (1회)
mahazioth | 마하시옷 | 난이도 3 | crosswordMap23 (1회)
mahlah | 말라 | 난이도 3 | crosswordMap79 (1회)
mahli | 마흘리 | 난이도 3 | crosswordMap26 (1회)
makkedah | 막게다 | 난이도 1 | crosswordMap58 (1회)
malachi | 말라기 | 난이도 2 | crosswordMap22 (1회)
malchus | 말고 | 난이도 3 | crosswordMap22 (1회)
mallothi | 말로디 | 난이도 3 | crosswordMap79 (1회)
malluch | 말룩 | 난이도 2 | crosswordMap6 (1회)
malluchi | 말루기 | 난이도 2 | crosswordMap51 (1회)
malta | 멜리데 | 난이도 2 | crosswordMap22 (1회)
manasseh | 므낫세 | 난이도 2 | crosswordMap76 (1회)
mandrake | 합환채 | 난이도 2 | crosswordMap55 (1회)
manna | 만나 | 난이도 1 | crosswordMap1 (1회)
manoah | 마노아 | 난이도 1 | crosswordMap31 (1회)
manuscript | 필사본 | 난이도 2 | crosswordMap43 (1회)
mareal | 마르알 | 난이도 3 | crosswordMap30 (1회)
mark | 마가 | 난이도 2 | crosswordMap17 (1회)
marksgospel | 마가복음 | 난이도 2 | crosswordMap66 (1회)
maroth | 마롯 | 난이도 3 | crosswordMap30 (1회)
marsena | 마르스나 | 난이도 3 | crosswordMap71 (1회)
martha | 마르다 | 난이도 1 | crosswordMap1 (1회)
mary | 마리아 | 난이도 1 | crosswordMap15 (1회)
mash | 마스 | 난이도 3 | crosswordMap26 (1회)
mason | 석수 | 난이도 2 | crosswordMap54 (1회)
mattaniah | 맛다냐 | 난이도 3 | crosswordMap78 (1회)
mattenai | 맛드내 | 난이도 3 | crosswordMap62 (1회)
matthew | 마태 | 난이도 1 | crosswordMap15 (1회)
matthias | 맛디아 | 난이도 2 | crosswordMap21 (1회)
meal | 식사 | 난이도 2 | crosswordMap50 (1회)
medan | 므단 | 난이도 3 | crosswordMap27 (1회)
medeba | 메드바 | 난이도 2 | crosswordMap27 (1회)
megiddo | 므깃도 | 난이도 2 | crosswordMap66 (1회)
mehetabel | 므헤다벨 | 난이도 3 | crosswordMap77 (1회)
mehir | 므힐 | 난이도 3 | crosswordMap25 (1회)
melatiah | 믈라댜 | 난이도 3 | crosswordMap72 (1회)
melchi | 멜기 | 난이도 3 | crosswordMap80 (1회)
melchizedek | 멜기세덱 | 난이도 2 | crosswordMap22 (1회)
melea | 멜레아 | 난이도 3 | crosswordMap67 (1회)
memphis | 멤피스 | 난이도 1 | crosswordMap28 (1회)
memucan | 므무간 | 난이도 3 | crosswordMap30 (1회)
menahem | 므나헴 | 난이도 2 | crosswordMap27 (1회)
meonothai | 므오노대 | 난이도 3 | crosswordMap79 (1회)
mephaath | 메바앗 | 난이도 3 | crosswordMap44 (1회)
mephibosheth | 므비보셋 | 난이도 3 | crosswordMap7 (1회)
mercy | 자비 | 난이도 1 | crosswordMap40 (1회)
meshech | 메섹 | 난이도 3 | crosswordMap28 (1회)
meshelemiah | 므셀레먀 | 난이도 3 | crosswordMap76 (1회)
meshezabel | 므세사벨 | 난이도 3 | crosswordMap30 (1회)
meshillemoth | 므실레못 | 난이도 3 | crosswordMap78 (1회)
meshobab | 메소밥 | 난이도 3 | crosswordMap26 (1회)
meshullemeth | 므술레멧 | 난이도 3 | crosswordMap79 (1회)
mesopotamia | 메소포타미아 | 난이도 2 | crosswordMap31 (1회)
messiah | 메시아 | 난이도 1 | crosswordMap14, crosswordMap35 (2회)
metals | 금속 | 난이도 1 | crosswordMap67 (1회)
methuselah | 므두셀라 | 난이도 2 | crosswordMap7 (1회)
methushael | 므두사엘 | 난이도 3 | crosswordMap78 (1회)
mezuzah | 메주자 | 난이도 3 | crosswordMap28 (1회)
mibsam | 밉삼 | 난이도 3 | crosswordMap78 (1회)
mica | 미카 | 난이도 3 | crosswordMap50 (1회)
micah | 미가 | 난이도 2 | crosswordMap19 (1회)
micaiah | 미가야 | 난이도 2 | crosswordMap21 (1회)
michael | 미가엘 | 난이도 1 | crosswordMap19 (1회)
michal | 미갈 | 난이도 2 | crosswordMap20 (1회)
michri | 미그리 | 난이도 3 | crosswordMap77 (1회)
midian | 미디안 | 난이도 2 | crosswordMap20 (1회)
midwife | 산파 | 난이도 2 | crosswordMap5 (1회)
migdol | 믹돌 | 난이도 1 | crosswordMap63 (1회)
mijamin | 미야민 | 난이도 3 | crosswordMap69 (1회)
mikloth | 미글롯 | 난이도 3 | crosswordMap77 (1회)
miktam | 믹담 | 난이도 1 | crosswordMap63 (1회)
mildness | 온유 | 난이도 2 | crosswordMap20 (1회)
miletus | 밀레도 | 난이도 3 | crosswordMap18 (1회)
miracles | 기적 | 난이도 1 | crosswordMap51 (1회)
miriam | 미리암 | 난이도 2 | crosswordMap19 (1회)
misham | 미삼 | 난이도 3 | crosswordMap75 (1회)
mispar | 미스발 | 난이도 3 | crosswordMap25 (1회)
mitylene | 미틸레네 | 난이도 2 | crosswordMap69 (1회)
mizpah | 미스바 | 난이도 1 | crosswordMap23, crosswordMap57 (2회)
mizraim | 미스라임 | 난이도 2 | crosswordMap59 (1회)
mnason | 므나손 | 난이도 3 | crosswordMap46 (1회)
moladah | 몰라다 | 난이도 3 | crosswordMap70 (1회)
molech | 몰렉 | 난이도 3 | crosswordMap76 (1회)
moserah | 모세라 | 난이도 3 | crosswordMap72 (1회)
moses | 모세 | 난이도 1 | crosswordMap31 (1회)
mosquito | 모기 | 난이도 1 | crosswordMap36 (1회)
mostholy | 지성소 | 난이도 2 | crosswordMap47 (1회)
mustard | 겨자 | 난이도 1 | crosswordMap60 (1회)
mustardseed | 겨자씨 | 난이도 2 | crosswordMap60 (1회)
muzzle | 부리망 | 난이도 2 | crosswordMap47 (1회)
myra | 미라 | 난이도 1 | crosswordMap77 (1회)
naam | 나암 | 난이도 3 | crosswordMap9 (1회)
nabonidus | 나보니두스 | 난이도 3 | crosswordMap71 (1회)
nadab | 나답 | 난이도 1 | crosswordMap49 (1회)
nahalal | 나할랄 | 난이도 3 | crosswordMap28 (1회)
naham | 나함 | 난이도 3 | crosswordMap30 (1회)
nahamani | 나하마니 | 난이도 3 | crosswordMap10 (1회)
nahash | 나하스 | 난이도 2 | crosswordMap69 (1회)
nahbi | 나비 | 난이도 2 | crosswordMap64 (1회)
nahor | 나홀 | 난이도 3 | crosswordMap20 (1회)
nain | 나인 | 난이도 2 | crosswordMap32 (1회)
naomi | 나오미 | 난이도 2 | crosswordMap32 (1회)
naphish | 나비스 | 난이도 3 | crosswordMap9 (1회)
naphtali | 납달리 | 난이도 1 | crosswordMap53 (1회)
naphtuhim | 나감향 | 난이도 3 | crosswordMap71 (1회)
narcissus | 나깃수 | 난이도 3 | crosswordMap28 (1회)
nathan | 나단 | 난이도 2 | crosswordMap79 (1회)
nathanael | 나다나엘 | 난이도 1 | crosswordMap9 (1회)
nazareth | 나사렛 | 난이도 2 | crosswordMap1 (1회)
nebaioth | 느바욧 | 난이도 2 | crosswordMap68 (1회)
nebo | 느보 | 난이도 1 | crosswordMap69 (1회)
nebuchadnezzar | 느부갓네살 | 난이도 2 | crosswordMap54 (1회)
nebushazban | 느부사스반 | 난이도 3 | crosswordMap47 (1회)
nebuzaradan | 느부사라단 | 난이도 2 | crosswordMap44 (1회)
necklace | 목걸이 | 난이도 1 | crosswordMap36 (1회)
nedabiah | 느다뱌 | 난이도 3 | crosswordMap44 (1회)
needle | 바늘 | 난이도 1 | crosswordMap25 (1회)
negeb | 네게브 | 난이도 2 | crosswordMap33 (1회)
nehemiah | 느헤미야 | 난이도 2 | crosswordMap12 (1회)
nehiloth | 네힐롯 | 난이도 3 | crosswordMap26 (1회)
nemuel | 느무엘 | 난이도 3 | crosswordMap76 (1회)
nephilim | 네피림 | 난이도 2 | crosswordMap69 (1회)
nergal | 네르갈 | 난이도 3 | crosswordMap80 (1회)
neri | 네리 | 난이도 3 | crosswordMap80 (1회)
nethanel | 느다넬 | 난이도 2 | crosswordMap72 (1회)
nethinim | 느디님 | 난이도 3 | crosswordMap69 (1회)
netophah | 느도바 | 난이도 3 | crosswordMap76 (1회)
nicanor | 니가노르 | 난이도 3 | crosswordMap71 (1회)
nicolaus | 니골라 | 난이도 3 | crosswordMap9 (1회)
niger | 니게르 | 난이도 3 | crosswordMap71 (1회)
nile | 나일 | 난이도 1 | crosswordMap49 (1회)
nimrim | 니므림 | 난이도 3 | crosswordMap26 (1회)
nimrod | 니므롯 | 난이도 1 | crosswordMap26 (1회)
nineveh | 니네베 | 난이도 1 | crosswordMap37, crosswordMap58 (2회)
noadiah | 노아댜 | 난이도 3 | crosswordMap28 (1회)
noah | 노아 | 난이도 1 | crosswordMap7 (1회)
nobah | 노바 | 난이도 3 | crosswordMap28 (1회)
nophah | 노파 | 난이도 3 | crosswordMap79 (1회)
numbers | 민수기 | 난이도 2 | crosswordMap17 (1회)
oath | 맹세 | 난이도 2 | crosswordMap45 (1회)
oath-2 | 서약맹세 | 난이도 2 | crosswordMap31 (1회)
obadiah | 오바댜 | 난이도 2 | crosswordMap68 (1회)
obed | 오벳 | 난이도 2 | crosswordMap45 (1회)
obedience | 순종 | 난이도 2 | crosswordMap44 (1회)
offerings | 제물 | 난이도 2 | crosswordMap13 (1회)
onesimus | 오네시모 | 난이도 3 | crosswordMap80 (1회)
othniel | 옷니엘 | 난이도 2 | crosswordMap5 (1회)
paarai | 바아래 | 난이도 3 | crosswordMap45 (1회)
paddan | 밧단 | 난이도 2 | crosswordMap68 (1회)
padon | 바돈 | 난이도 3 | crosswordMap78 (1회)
pagiel | 바기엘 | 난이도 3 | crosswordMap80 (1회)
paphos | 파포스 | 난이도 3 | crosswordMap28 (1회)
papyrus | 파피루스 | 난이도 2 | crosswordMap50 (1회)
parah | 바라 | 난이도 3 | crosswordMap9 (1회)
paralysis | 마비 | 난이도 1 | crosswordMap65 (1회)
parmashta | 바마스다 | 난이도 3 | crosswordMap26 (1회)
parmenas | 바르메나 | 난이도 3 | crosswordMap30 (1회)
parosh | 바로스 | 난이도 3 | crosswordMap24 (1회)
paruah | 바루아 | 난이도 3 | crosswordMap71 (1회)
paseah | 바세아 | 난이도 3 | crosswordMap29 (1회)
pashhur | 바스훌 | 난이도 3 | crosswordMap80 (1회)
pathros | 바드로스 | 난이도 2 | crosswordMap57 (1회)
pathrusim | 바드루심 | 난이도 3 | crosswordMap29 (1회)
patience | 인내 | 난이도 1 | crosswordMap46 (1회)
patmos | 파트모스 | 난이도 3 | crosswordMap7 (1회)
patrobas | 바드로바 | 난이도 3 | crosswordMap76 (1회)
pau | 바우 | 난이도 2 | crosswordMap50 (1회)
paul | 바울 | 난이도 1 | crosswordMap12 (1회)
peace | 평화 | 난이도 1 | crosswordMap71 (1회)
pekahiah | 브가히야 | 난이도 3 | crosswordMap25 (1회)
pelaiah | 블라야 | 난이도 3 | crosswordMap80 (1회)
pelaliah | 블랄리야 | 난이도 2 | crosswordMap80 (1회)
peleth | 벨레스 | 난이도 3 | crosswordMap78 (1회)
pelican | 사다새 | 난이도 2 | crosswordMap28 (1회)
penuel | 브누엘 | 난이도 3 | crosswordMap10 (1회)
peres | 페레스 | 난이도 2 | crosswordMap70 (1회)
persia | 페르시아 | 난이도 2 | crosswordMap18 (1회)
persis | 베르시 | 난이도 3 | crosswordMap77 (1회)
peter | 베드로 | 난이도 1 | crosswordMap8 (1회)
pethor | 브돌 | 난이도 2 | crosswordMap63 (1회)
pethuel | 베두엘 | 난이도 3 | crosswordMap73 (1회)
pharaoh | 파라오 | 난이도 1 | crosswordMap44 (1회)
pharisees | 바리새인 | 난이도 2 | crosswordMap21 (1회)
philadelphia | 빌라델비아 | 난이도 2 | crosswordMap79 (1회)
philemon | 빌레몬 | 난이도 2 | crosswordMap15 (1회)
philetus | 빌레도 | 난이도 3 | crosswordMap23 (1회)
philip | 빌립 | 난이도 2 | crosswordMap17 (1회)
philippi | 빌립보 | 난이도 2 | crosswordMap18 (1회)
philippians | 빌립보서 | 난이도 2 | crosswordMap18 (1회)
philologus | 빌롤로고 | 난이도 3 | crosswordMap79 (1회)
philosophy | 철학 | 난이도 2 | crosswordMap61 (1회)
phinehas | 비느하스 | 난이도 2 | crosswordMap22 (1회)
phoenix | 뵈닉스 | 난이도 2 | crosswordMap77 (1회)
phrygia | 프리지아 | 난이도 2 | crosswordMap5 (1회)
pilate | 빌라도 | 난이도 2 | crosswordMap17 (1회)
pilha | 필하 | 난이도 3 | crosswordMap73 (1회)
pillar | 기둥 | 난이도 1 | crosswordMap35 (1회)
pirathon | 비라돈 | 난이도 2 | crosswordMap46 (1회)
pisgah | 비스가 | 난이도 2 | crosswordMap46 (1회)
pisidia | 피시디아 | 난이도 3 | crosswordMap28 (1회)
pit | 구덩이 | 난이도 1 | crosswordMap42 (1회)
pithon | 비돈 | 난이도 3 | crosswordMap75 (1회)
pity | 불쌍히여김연민 | 난이도 2 | crosswordMap35 (1회)
plague | 재앙 | 난이도 2 | crosswordMap61 (1회)
plummet | 다림줄 | 난이도 2 | crosswordMap41 (1회)
pomegranate | 석류 | 난이도 2 | crosswordMap54 (1회)
pontus | 폰투스 | 난이도 3 | crosswordMap29 (1회)
poplars | 미루나무 | 난이도 2 | crosswordMap16 (1회)
poratha | 보라다 | 난이도 3 | crosswordMap42 (1회)
potiphera | 보디베라 | 난이도 3 | crosswordMap42 (1회)
potter | 도공 | 난이도 2 | crosswordMap68 (1회)
prayer | 기도 | 난이도 1 | crosswordMap15 (1회)
presumptuousness | 주제넘음 | 난이도 2 | crosswordMap40 (1회)
priest | 제사장 | 난이도 1 | crosswordMap52 (1회)
prisca | 브리스가 | 난이도 3 | crosswordMap24 (1회)
priscilla | 브리스길라 | 난이도 2 | crosswordMap21 (1회)
proconsul | 속주총독 | 난이도 2 | crosswordMap67 (1회)
prophet | 예언자 | 난이도 1 | crosswordMap4 (1회)
propheticbooks | 예언서 | 난이도 1 | crosswordMap19 (1회)
psalms | 시편 | 난이도 1 | crosswordMap14 (1회)
publius | 보블리오 | 난이도 2 | crosswordMap50 (1회)
punon | 부논 | 난이도 2 | crosswordMap64 (1회)
pupil | 눈동자 | 난이도 1 | crosswordMap38 (1회)
purim | 부림 | 난이도 2 | crosswordMap64 (1회)
quail | 메추라기 | 난이도 2 | crosswordMap35 (1회)
quart | 리터 | 난이도 3 | crosswordMap24 (1회)
quartus | 구아르도 | 난이도 3 | crosswordMap29 (1회)
quirinius | 퀴리니우스 | 난이도 3 | crosswordMap24 (1회)
raamah | 라아마 | 난이도 2 | crosswordMap29 (1회)
raamiah | 라아미야 | 난이도 3 | crosswordMap72 (1회)
rabbah | 랍바 | 난이도 2 | crosswordMap41 (1회)
rabboni | 랍보니 | 난이도 2 | crosswordMap42 (1회)
rabsaris | 랍사리스 | 난이도 2 | crosswordMap41 (1회)
rachel | 라헬 | 난이도 2 | crosswordMap65 (1회)
rahab | 라합 | 난이도 1 | crosswordMap33 (1회)
rainbow | 무지개 | 난이도 1 | crosswordMap2 (1회)
ramah | 라마 | 난이도 1 | crosswordMap23 (1회)
ramoth | 라못 | 난이도 2 | crosswordMap59 (1회)
